year;area;information;price_per_square_meter;observations
2008;Sipoo;single_family_houses;2308;38
2008;Siuntio;block_of_flats;1659;6
2008;Siuntio;single_family_houses;1873;18
2008;Sodankyla;block_of_flats;;10
2008;Sodankyla;single_family_houses;976;30
2008;Soini;block_of_flats;;
2008;Soini;single_family_houses;728;7
2008;Somero;block_of_flats;936;23
2008;Somero;single_family_houses;1096;56
2008;Sonkajarvi;block_of_flats;;3
2008;Sonkajarvi;single_family_houses;1029;11
2008;Sotkamo;block_of_flats;1385;23
2008;Sotkamo;single_family_houses;1430;33
2008;Sulkava;block_of_flats;;2
2008;Sulkava;single_family_houses;746;12
2008;Suomenniemi;block_of_flats;;
2008;Suomenniemi;single_family_houses;;2
2008;Suomussalmi;block_of_flats;790;21
2008;Suomussalmi;single_family_houses;;10
2008;Suonenjoki;block_of_flats;834;57
2008;Suonenjoki;single_family_houses;1121;21
2008;Sysma;block_of_flats;691;9
2008;Sysma;single_family_houses;1051;18
2008;Sakyla;block_of_flats;959;21
2008;Sakyla;single_family_houses;978;8
2008;Vaala;block_of_flats;;3
2008;Vaala;single_family_houses;763;9
2008;Sastamala;block_of_flats;1190;117
2008;Sastamala;single_family_houses;1029;79
2008;Siikalatva;block_of_flats;;1
2008;Siikalatva;single_family_houses;711;19
2008;Taipalsaari;block_of_flats;;
2008;Taipalsaari;single_family_houses;1534;34
2008;Taivalkoski;block_of_flats;612;35
2008;Taivalkoski;single_family_houses;924;5
2008;Taivassalo;block_of_flats;715;5
2008;Taivassalo;single_family_houses;;2
2008;Tammela;block_of_flats;996;19
2008;Tammela;single_family_houses;1402;9
2008;Tampere;block_of_flats;1956;3337
2008;Tampere;single_family_houses;2070;929
2008;Tarvasjoki;block_of_flats;;3
2008;Tarvasjoki;single_family_houses;1182;6
2008;Tervo;block_of_flats;;8
2008;Tervo;single_family_houses;;2
2008;Tervola;block_of_flats;;
2008;Tervola;single_family_houses;;16
2008;Teuva;block_of_flats;;1
2008;Teuva;single_family_houses;696;14
2008;Tohmajarvi;block_of_flats;;4
2008;Tohmajarvi;single_family_houses;815;10
2008;Toholampi;block_of_flats;;2
2008;Toholampi;single_family_houses;628;11
2008;Toivakka;block_of_flats;;
2008;Toivakka;single_family_houses;961;8
2008;Tornio;block_of_flats;1235;122
2008;Tornio;single_family_houses;1190;83
2008;Turku;block_of_flats;1571;3026
2008;Turku;single_family_houses;1920;752
2008;Pello;block_of_flats;;1
2008;Pello;single_family_houses;;5
2008;Tuusniemi;block_of_flats;620;9
2008;Tuusniemi;single_family_houses;698;15
2008;Tuusula;block_of_flats;1836;188
2008;Tuusula;single_family_houses;2312;172
2008;Tyrnava;block_of_flats;;
2008;Tyrnava;single_family_houses;1099;15
2008;Taysa;block_of_flats;;1
2008;Taysa;single_family_houses;964;16
2008;Ulvila;block_of_flats;1005;30
2008;Ulvila;single_family_houses;1210;61
2008;Urjala;block_of_flats;868;8
2008;Urjala;single_family_houses;1278;12
2008;Utajarvi;block_of_flats;;1
2008;Utajarvi;single_family_houses;700;25
2008;Uurainen;block_of_flats;;2
2008;Uurainen;single_family_houses;;4
2008;Uusikaarlepyy;block_of_flats;1046;14
2008;Uusikaarlepyy;single_family_houses;1255;10
2008;Uusikaupunki;block_of_flats;884;172
2008;Uusikaupunki;single_family_houses;985;203
2008;Vaasa;block_of_flats;1495;841
2008;Vaasa;single_family_houses;1595;265
2008;Valkeakoski;block_of_flats;1089;235
2008;Valkeakoski;single_family_houses;1367;80
2008;Valtimo;block_of_flats;;7
2008;Valtimo;single_family_houses;606;7
2008;Varkaus;block_of_flats;832;189
2008;Varkaus;single_family_houses;1006;167
2008;Varpaisjarvi;block_of_flats;;
2008;Varpaisjarvi;single_family_houses;696;18
2008;Vehmaa;block_of_flats;;4
2008;Vehmaa;single_family_houses;944;5
2008;Vesanto;block_of_flats;;1
2008;Vesanto;single_family_houses;;5
2008;Vesilahti;block_of_flats;;2
2008;Vesilahti;single_family_houses;1225;10
2008;Veteli;block_of_flats;;
2008;Veteli;single_family_houses;623;8
2008;Vierema;block_of_flats;;1
2008;Vierema;single_family_houses;851;9
2008;Vihanti;block_of_flats;;2
2008;Vihanti;single_family_houses;737;13
2008;Vihti;block_of_flats;1896;103
2008;Vihti;single_family_houses;1903;273
2008;Viitasaari;block_of_flats;927;33
2008;Viitasaari;single_family_houses;1021;19
